,permno,Quarter,Unnamed: 0_x,date,ret,shrcd,price,me,Unnamed: 0_y,ea_date,fiscal_period,gics_6d,ret_ex_3d,date_diff,doy_diff
50,10308,2021Q4,284.0,2021-12-31,0.0693449079990387,11.0,83.58000183105469,1225199.246841431,1058,2021-10-22,2021-09-30,401010,0.00027405634,0,-2
51,10318,2021Q1,287.0,2021-03-31,0.0506870225071907,11.0,125.41000366210938,4069805.438842773,1115,2021-02-19,2020-12-31,151010,0.054608587,0,-2
52,10318,2021Q2,290.0,2021-06-30,0.0019846907816827,11.0,131.25999450683594,4253480.121994019,1116,2021-04-30,2021-03-31,151010,0.04337542,0,-2
53,10318,2021Q3,293.0,2021-09-30,0.0331150069832801,11.0,145.07000732421875,4697802.047180176,1117,2021-07-30,2021-06-30,151010,0.0095575955,0,-2
54,10318,2021Q4,296.0,2021-12-31,0.0711392760276794,11.0,168.60000610351562,5443588.397064209,1118,2021-10-29,2021-09-30,151010,-0.017430685,2,0
55,10333,2021Q1,299.0,2021-03-31,0.1273480802774429,11.0,40.810001373291016,459520.6154632568,1149,2021-03-11,2020-12-31,352010,0.039100632,2,0
56,10333,2021Q3,305.0,2021-09-30,-0.204691544175148,11.0,24.75,279947.25,1150,2021-08-05,2021-06-30,352010,-0.045249976,0,-2
57,10333,2021Q4,308.0,2021-12-31,0.01657728664577,11.0,20.850000381469727,235917.75431633,1151,2021-11-04,2021-09-30,352010,-0.0020536887,0,-2
58,10382,2021Q1,323.0,2021-03-31,0.1120435819029808,11.0,75.41999816894531,1713240.6784057615,1300,2021-03-01,2020-12-31,201060,0.02489186,0,-4
59,10382,2021Q2,326.0,2021-06-30,-0.0815701186656951,11.0,62.93999862670898,1432325.5487480164,1301,2021-05-05,2021-03-31,201060,-0.13659073,0,-2
60,10382,2021Q3,329.0,2021-09-30,-0.1198887452483177,11.0,53.810001373291016,1224877.0612602234,1302,2021-08-04,2021-06-30,201060,-0.008091008,0,-2
61,10382,2021Q4,332.0,2021-12-31,0.1051371470093727,11.0,69.2699966430664,1577070.0135726929,1303,2021-11-03,2021-09-30,201060,0.11501864,0,-2
62,10397,2021Q1,335.0,2021-03-31,0.0990214422345161,11.0,47.16999816894531,3203691.935638428,1408,2021-02-04,2020-12-31,203040,-0.012349794,1,-1
63,10397,2021Q2,338.0,2021-06-30,-0.072306752204895,11.0,44.52000045776367,3024332.6710968018,1409,2021-04-28,2021-03-31,203040,0.037786275,1,-1
64,10397,2021Q3,341.0,2021-09-30,-0.0612807348370552,11.0,44.27000045776367,2960954.7106170654,1410,2021-07-29,2021-06-30,203040,0.02659888,1,-1
65,10397,2021Q4,344.0,2021-12-31,0.0591886304318904,11.0,47.65999984741211,3135551.3899612427,1411,2021-10-28,2021-09-30,203040,-0.02385539,1,-1
66,10421,2021Q1,347.0,2021-03-31,-0.0335284620523452,11.0,54.47999954223633,2742850.05695343,1474,2021-02-04,2020-12-31,203020,-0.0034689049,7,5
67,10421,2021Q2,350.0,2021-06-30,-0.1215582117438316,11.0,43.06999969482422,2168402.20463562,1475,2021-04-29,2021-03-31,203020,-0.037377637,-7,-9
