,permno,Quarter,Unnamed: 0_x,date,ret,shrcd,price,me,Unnamed: 0_y,ea_date,fiscal_period,gics_6d,ret_ex_3d,date_diff,doy_diff,weekday,most_popular_weekday,fraction_on_most_popular_weekday,quantile_group,fraction_of_zeros
176,11308,2021Q2,926.0,2021-06-30,-0.0137457102537155,11.0,54.11000061035156,233305061.54164124,3426,2021-04-19,2021-03-31,302010,0.018249653,-1,-3,Monday,Wednesday,0.75,below_median,0.25
177,11308,2021Q3,929.0,2021-09-30,-0.0607352182269096,11.0,52.470001220703125,226670405.2734375,3427,2021-07-21,2021-06-30,302010,-0.0058433823,0,-1,Wednesday,Wednesday,0.75,below_median,0.25
178,11308,2021Q4,932.0,2021-12-31,0.1288846135139465,11.0,59.209999084472656,255787196.04492188,3428,2021-10-27,2021-09-30,302010,0.0335864,6,4,Wednesday,Wednesday,0.75,above_median,0.25
193,11397,2021Q1,1017.0,2021-03-31,0.0967403128743171,11.0,51.630001068115234,893508.7984848022,3691,2021-01-27,2020-12-31,401010,-0.025758462,2,0,Wednesday,Wednesday,0.75,above_median,0.0
194,11397,2021Q2,1020.0,2021-06-30,-0.0567376464605331,11.0,51.34999847412109,889381.9735717773,3692,2021-04-21,2021-03-31,401010,0.019252999,-5,-7,Wednesday,Wednesday,0.75,above_median,0.0
195,11397,2021Q3,1023.0,2021-09-30,0.0045062187127768,11.0,52.97999954223633,917613.5920715332,3693,2021-07-21,2021-06-30,401010,-0.08740049,2,0,Wednesday,Wednesday,0.75,above_median,0.0
196,11397,2021Q4,1026.0,2021-12-31,0.0578066855669021,11.0,56.369998931884766,976948.4514884948,3694,2021-10-25,2021-09-30,401010,0.01416743,7,5,Monday,Wednesday,0.75,above_median,0.0
209,11481,2021Q2,1081.0,2021-06-30,0.2399635761976242,11.0,33.900001525878906,1036763.7466659546,3959,2021-04-27,2020-12-31,451030,-0.00198886,57,55,Tuesday,Tuesday,0.6666666666666666,above_median,0.0
210,11481,2021Q3,1084.0,2021-09-30,-0.0616747848689556,11.0,26.93000030517578,826320.1293640137,3960,2021-08-09,2021-06-30,451030,0.0043049324,4,1,Monday,Tuesday,0.6666666666666666,above_median,0.0
211,11481,2021Q4,1087.0,2021-12-31,-0.005235597025603,11.0,30.399999618530277,932763.1882953644,3961,2021-11-09,2021-09-30,451030,-0.068991035,1,-1,Tuesday,Tuesday,0.6666666666666666,below_median,0.0
212,11499,2021Q1,1090.0,2021-03-31,-0.0329268276691436,11.0,7.929999828338623,282054.23389434814,4003,2021-03-03,2020-12-31,202010,0.024556639,0,-2,Wednesday,Monday,0.25,below_median,0.25
213,11499,2021Q2,1093.0,2021-06-30,-0.0615989863872528,11.0,7.159999847412109,255962.8345451355,4004,2021-05-06,2021-03-31,202010,-0.035381805,1,-1,Thursday,Monday,0.25,below_median,0.25
214,11499,2021Q3,1096.0,2021-09-30,-0.0675496980547905,11.0,7.039999961853027,252095.35863399503,4005,2021-08-03,2021-06-30,202010,-0.01999888,-1,-3,Tuesday,Monday,0.25,below_median,0.25
215,11499,2021Q4,1099.0,2021-12-31,0.0505902543663978,11.0,6.230000019073486,218224.44066810608,4006,2021-11-08,2021-09-30,202010,-0.0554566,5,3,Monday,Monday,0.25,above_median,0.25
216,11533,2021Q1,1114.0,2021-03-31,0.0622882768511772,11.0,486.0499877929688,14210157.443115234,4092,2021-01-28,2020-12-31,451030,-0.06676218,0,-2,Thursday,Wednesday,0.5,below_median,0.25
217,11533,2021Q2,1117.0,2021-06-30,-0.006679059471935,11.0,502.6799926757813,14465622.149230955,4093,2021-05-05,2021-03-31,451030,-0.017105298,7,5,Wednesday,Wednesday,0.5,above_median,0.25
218,11533,2021Q3,1120.0,2021-09-30,-0.1344455480575562,11.0,397.9299926757813,11296038.702087402,4094,2021-08-03,2021-06-30,451030,-0.052887026,5,4,Tuesday,Wednesday,0.5,above_median,0.25
219,11533,2021Q4,1123.0,2021-12-31,0.2280746698379517,11.0,433.6700134277344,11864344.227355955,4095,2021-11-10,2021-09-30,451030,-0.027695412,1,-1,Wednesday,Wednesday,0.5,below_median,0.25
228,11587,2021Q1,1162.0,2021-03-31,0.0290606059134006,11.0,641.3099975585938,1172314.6755371094,4289,2021-03-01,2020-12-31,351010,-0.026183672,4,3,Monday,Monday,0.5,above_median,0.25
229,11587,2021Q2,1165.0,2021-06-30,0.0027053023222833,11.0,620.9299926757812,1124504.2167358398,4290,2021-05-10,2021-03-31,351010,0.015957698,4,2,Monday,Monday,0.5,above_median,0.25
230,11587,2021Q3,1168.0,2021-09-30,0.0077659026719629,11.0,697.5,1256197.5,4291,2021-08-10,2021-06-30,351010,-0.018893937,5,3,Tuesday,Monday,0.5,above_median,0.25
231,11587,2021Q4,1171.0,2021-12-31,-0.007169066928327,11.0,704.9000244140625,1269524.9439697266,4292,2021-11-09,2021-09-30,351010,0.034215033,0,-1,Tuesday,Monday,0.5,below_median,0.25
244,11636,2021Q1,1222.0,2021-03-31,-0.1034292504191399,11.0,16.209999084472656,1650647.996772766,4508,2021-03-01,2020-12-31,352010,-0.040214512,0,-2,Monday,Monday,0.75,below_median,0.25
245,11636,2021Q2,1225.0,2021-06-30,0.1695553809404373,11.0,15.520000457763672,1581627.726650238,4509,2021-05-10,2021-03-31,352010,0.12055965,4,2,Monday,Monday,0.75,above_median,0.25
246,11636,2021Q3,1228.0,2021-09-30,-0.0839760452508926,11.0,10.6899995803833,1089685.1072263718,4510,2021-08-09,2021-06-30,352010,-0.0012943633,4,3,Monday,Monday,0.75,above_median,0.25
247,11636,2021Q4,1231.0,2021-12-31,-0.0338624007999897,11.0,9.130000114440918,931305.6616735458,4511,2021-11-03,2021-09-30,352010,-0.013486513,-1,-7,Wednesday,Monday,0.75,below_median,0.25
250,11664,2021Q1,1258.0,2021-03-31,-0.0311044752597808,11.0,45.790000915527344,2474216.9094696045,4701,2021-02-22,2020-12-31,402020,-0.055714298,5,3,Monday,Monday,0.25,above_median,0.25
251,11664,2021Q2,1261.0,2021-06-30,0.1542251408100128,11.0,46.84999847412109,2550045.416946411,4702,2021-05-05,2021-03-31,402020,-0.009331069,-5,-7,Wednesday,Monday,0.25,above_median,0.25
252,11664,2021Q3,1264.0,2021-09-30,-0.0365620180964469,11.0,50.33000183105469,2750031.300048828,4703,2021-08-03,2021-06-30,402020,-0.0072033037,0,-2,Tuesday,Monday,0.25,below_median,0.25
